DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/01/2016,8:30,BROOKLYN,11232,40.6502133,-74.0157592,"(40.6502133, -74.0157592)",48 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,Unspecified,,,3381468,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/01/2016,8:30,BROOKLYN,11219,40.6354968,-74.0019564,"(40.6354968, -74.0019564)",FORT HAMILTON PARKWAY,55 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381403,SPORT UTILITY / STATION WAGON,BUS,,,
02/01/2016,8:30,BROOKLYN,11212,40.6571375,-73.9036434,"(40.6571375, -73.9036434)",MOTHER GASTON BOULEVARD,NEW LOTS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381472,PASSENGER VEHICLE,LIVERY VEHICLE,,,
02/01/2016,8:30,BRONX,10466,40.8886434,-73.8382255,"(40.8886434, -73.8382255)",EAST 233 STREET,HILL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381321,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:30,BRONX,10462,40.8438899,-73.8650474,"(40.8438899, -73.8650474)",,,715 VANNEST AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381338,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:25,,,40.5647207,-74.1948726,"(40.5647207, -74.1948726)",,,,1,0,0,0,0,0,1,0,,,,,,3382583,PASSENGER VEHICLE,,,,
02/01/2016,8:25,BROOKLYN,11228,40.6180231,-74.0098011,"(40.6180231, -74.0098011)",79 STREET,13 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381431,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,8:22,,,40.718032,-73.8003684,"(40.718032, -73.8003684)",,,PARKING LOT OF 82-56 166 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381664,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
02/01/2016,8:21,QUEENS,11369,40.7640141,-73.8812156,"(40.7640141, -73.8812156)",88 STREET,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381790,VAN,PASSENGER VEHICLE,,,
02/01/2016,8:20,QUEENS,11421,40.6917127,-73.8647387,"(40.6917127, -73.8647387)",JAMAICA AVENUE,77 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3381587,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
